id,name,year,co2
02050,"Bethel Census Area, AK",2017,unknown
02060,"Bristol Bay Borough, AK",2017,unknown
02068,"Denali Borough, AK",2017,unknown
02070,"Dillingham Census Area, AK",2017,unknown
02090,"Fairbanks North Star Borough, AK",2017,unknown
02100,"Haines Borough, AK",2017,unknown
02105,"Hoonah-Angoon Census Area, AK",2017,unknown
02110,"Juneau Borough/city, AK",2017,unknown
02122,"Kenai Peninsula Borough, AK",2017,unknown
02130,"Ketchikan Gateway Borough, AK",2017,unknown
02150,"Kodiak Island Borough, AK",2017,unknown
02158,"Kusilvak Census Area, AK",2017,unknown
02164,"Lake and Peninsula Borough, AK",2017,unknown
02170,"Matanuska-Susitna Borough, AK",2017,unknown
02180,"Nome Census Area, AK",2017,unknown
02185,"North Slope Borough, AK",2017,unknown
02188,"Northwest Arctic Borough, AK",2017,unknown
02195,"Petersburg Borough, AK",2017,unknown
02198,"Prince of Wales-Hyder Census Area, AK",2017,unknown
02220,"Sitka Borough/city, AK",2017,unknown
02230,"Skagway Municipality, AK",2017,unknown
02240,"Southeast Fairbanks Census Area, AK",2017,unknown
02261,"Valdez-Cordova Census Area, AK",2017,unknown
02275,"Wrangell Borough/city, AK",2017,unknown
02282,"Yakutat Borough/city, AK",2017,unknown
02290,"Yukon-Koyukuk Census Area, AK",2017,unknown
04001,"Apache County, AZ",2017,unknown
04003,"Cochise County, AZ",2017,unknown
04005,"Coconino County, AZ",2017,unknown
04007,"Gila County, AZ",2017,unknown
04009,"Graham County, AZ",2017,unknown
04011,"Greenlee County, AZ",2017,unknown
04012,"La Paz County, AZ",2017,unknown
04013,"Maricopa County, AZ",2017,unknown
04015,"Mohave County, AZ",2017,unknown
04017,"Navajo County, AZ",2017,unknown
04019,"Pima County, AZ",2017,unknown
04021,"Pinal County, AZ",2017,unknown
04023,"Santa Cruz County, AZ",2017,unknown
04025,"Yavapai County, AZ",2017,unknown
04027,"Yuma County, AZ",2017,unknown
05001,"Arkansas County, AR",2017,unknown
05003,"Ashley County, AR",2017,unknown
05005,"Baxter County, AR",2017,unknown
05007,"Benton County, AR",2017,unknown
05009,"Boone County, AR",2017,unknown
05011,"Bradley County, AR",2017,unknown
05013,"Calhoun County, AR",2017,unknown
05015,"Carroll County, AR",2017,unknown
05017,"Chicot County, AR",2017,unknown
05019,"Clark County, AR",2017,unknown
05021,"Clay County, AR",2017,unknown
05023,"Cleburne County, AR",2017,unknown
05025,"Cleveland County, AR",2017,unknown
05027,"Columbia County, AR",2017,unknown
05029,"Conway County, AR",2017,unknown
05031,"Craighead County, AR",2017,unknown
05033,"Crawford County, AR",2017,unknown
05035,"Crittenden County, AR",2017,unknown
05037,"Cross County, AR",2017,unknown
05039,"Dallas County, AR",2017,unknown
05041,"Desha County, AR",2017,unknown
05043,"Drew County, AR",2017,unknown
05045,"Faulkner County, AR",2017,unknown
05047,"Franklin County, AR",2017,unknown
05049,"Fulton County, AR",2017,unknown
05051,"Garland County, AR",2017,unknown
